Link,Filtered Data
https://forms.gle/gCwsjSUZqibvReST7,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['FQAC  - Faculty Quality Assurance Cell']}"
https://learn.zoom.us/meeting/register/u5MudeqgrDIvEtDmRgo_5ZrI5JrU7UGuE_Ry,"{'ORG': ['the Department of Botany, University of Peradeniya Virtual Speaker Series', 'Parma Research and Extension Center', 'University of Idaho', 'International PhD', 'https://learn.zoom.us/meeting/register/u5MudeqgrDIvEtDmRgo_5ZrI5JrU7UGuE_Ry', 'Department of Botany', 'University of Peradeniya'], 'PERSON': ['Dileepa Jayawardena', 'Nalin Suranjith', 'Sarangi Athukorala'], 'DATE': ['July 15, 2020', 'later this week'], 'TIME': ['09:00 a.m.'], 'GPE': ['USA'], 'CARDINAL': [], 'TITLE': ['News and Events']}"
https://docs.google.com/forms/d/e/1FAIpQLSe-Epanu_C9VCaP0LdmZE6TE-X5imPga0i0L3hLaawHNWuBwg/viewform,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['BOTSOC - Join Us']}"
https://docs.google.com/forms/d/e/1FAIpQLScd7MEPgMA4CbgDI-RDwmdCiCfx-y_UKUXQBQnJiaDf_BSV4g/viewform,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['BOTSOC - Contact']}"
https://docs.google.com/forms/d/e/1FAIpQLScVvybZOTt0ALEX12aWdDhBExADLBR89JZflfsjah1n4_pWPw/viewform,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['BOTSOC - Donate']}"
https://docs.google.com/forms/d/e/1FAIpQLSd2PCR7NY0VyQvhJFicUr5f7r6lVPlXyKHxdp0V3QjLdT86aQ/viewform,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['CSUP - Registrations']}"
https://docs.google.com/forms/d/e/1FAIpQLSeHnN9I3EKndzGjZ7dtf--ugUW8U91BILhkGxcFAuVV3CEMnQ/viewform?usp=sf_link,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['CSUP - Events']}"
https://learn.zoom.us/meeting/register/u5Asd-quqjIiHNd0-1EHLzvCvovsuRoUQEao,"{'ORG': ['the Department of Botany, University of Peradeniya Virtual Speaker Series', 'School of Pharmacy', 'Virginia Commonwealth University', 'Department of Botany', 'University of Peradeniya'], 'PERSON': ['Dayanjan S Wijesinghe', 'Nalin Suranjith', 'Sarangi Athukorala'], 'DATE': ['September 22, 2020', 'this Saturday', 'September 26', 'later this week'], 'TIME': ['09:00'], 'GPE': ['VA, USA'], 'CARDINAL': [], 'TITLE': ['News and Events']}"
https://forms.gle/zC2zka1PA3AzY5xP8,"{'ORG': [], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': [], 'CARDINAL': [], 'TITLE': ['SIRED - UOP - Events']}"
https://learn.zoom.us/meeting/register/u5YvcuqsrjooGNyG1KqBfSPJgkfkAObgIKKt,"{'ORG': ['the Department of Botany, University of Peradeniya', 'Department of Botany'], 'PERSON': ['Tharindu Weeraratne', 'Nalin', 'Nalin Suranjith', 'Sarangi Athukorala'], 'DATE': ['August 11, 2020', 'Sunday, August 16', 'later this week'], 'TIME': ['09:00 a.m.'], 'GPE': ['New Zealand'], 'CARDINAL': [], 'TITLE': ['News and Events']}"
http://meetings.aps.org/Meeting/MAR13/Event/188841,"{'ORG': ['APS March', 'WZ', 'MD', 'WZ InP', 'Graduate Poster Forum', 'WZ InP Nanowires', 'University of Cincinnati'], 'PERSON': [], 'DATE': [], 'TIME': [], 'GPE': ['Baltimore', 'San Francisco', 'CA', 'Dallas', 'TX', 'Cincinnati', 'OH', 'Portland'], 'CARDINAL': [], 'TITLE': ['Karunananda Pemasiri']}"
